API14,WellName,WellNumber,OperatorAlias,Field,TargetFormation,TotalDepth,VerticalDepth,DrillType,UpperPerforation,LowerPerforation,GrossPerforatedInterval,HorizontalLength,TreatmentJobCount,CumBOE,CumGas,CumOil,First6BOE,FirstProdDate,Township,Range,TR,County
5123192590000,BRINGELSON,1-28X,PETERSON ENERGY OPERATING,NEW DAY,NIOBRARA,7630.0,5827.0,H,6185.0,7415.0,1230.0,,1.0,474.0,0.0,474.0,448.0,1997-03-01,09N,58W,09N58W,Weld
5001097530000,WEP,4-28-11-3-64,AXIS ENERGY,DJ HORIZONTAL NIOBRARA,NIOBRARA,11431.0,7551.0,H,7519.0,11431.0,3912.0,4376.37,2.0,28664.0,45552.0,21072.0,10662.0,2017-04-01,03S,64W,03S64W,Adams
5001097540000,WEP,1-28-11-3-64,AXIS ENERGY,DJ HORIZONTAL NIOBRARA,NIOBRARA,11715.0,7594.0,H,8151.0,11715.0,3564.0,3575.27,2.0,33546.0,60174.0,23517.0,13185.0,2013-02-01,03S,64W,03S64W,Adams
5001098010000,SHARP,24-3-11HC,WARD PETR,WATTENBERG,CODELL,10161.0,7774.0,H,,,,2247.84,1.0,188242.0,273498.0,142659.0,46241.0,2015-01-01,01S,67W,01S67W,Adams
5001098260000,ALICIA,12-15H-5N,WARD PETR,SPINDLE,NIOBRARA,13842.0,7821.0,H,,,,5524.53,1.0,159344.0,348837.0,101205.0,53409.0,2015-09-01,01S,68W,01S68W,Adams
5001097850000,STATE OF CO,1S-66-36-1609CH,EXTRACTION O&G,THIRD CREEK,NIOBRARA,12177.31,7576.73,H,,,,4499.09,1.0,22828.0,39256.0,16285.0,7094.0,2014-06-01,01S,66W,01S66W,Adams
5001097830000,STATE OF CO,1S-66-36-0108BH,EXTRACTION O&G,THIRD CREEK,NIOBRARA,12164.98,7511.68,H,,,,4556.06,1.0,23909.0,44706.0,16458.0,8304.0,2014-06-01,01S,66W,01S66W,Adams
5001097820000,STATE OF CO,1S-66-36-0108CH,EXTRACTION O&G,WATTENBERG,NIOBRARA,12194.7,7574.72,H,,,,4525.4,1.0,21407.0,45118.0,13887.0,7118.0,2014-06-01,01S,66W,01S66W,Adams
5001097810000,STATE OF CO,1S-66-36-1609BH,EXTRACTION O&G,THIRD CREEK,NIOBRARA,12117.48,7513.7,H,,,,4504.51,1.0,31084.0,65779.0,20121.0,10385.0,2014-06-01,01S,66W,01S66W,Adams
5001097800000,STATE OF CO,1-66-36-1609CDH,EXTRACTION O&G,THIRD CREEK,CODELL,12347.0,7737.69,H,,,,4512.42,1.0,17477.0,17110.0,14625.0,6927.0,2014-06-01,01S,66W,01S66W,Adams
5001097780000,AFTON,12-16H-4,WARD PETR,SPINDLE,CODELL,12601.0,8018.0,H,,,,4200.24,1.0,179792.0,495129.0,97271.0,60797.0,2014-04-01,01S,68W,01S68W,Adams
5001097770000,WILLOW BEND LD,18-366HC,GREAT WESTERN OPERATING,SPINDLE,NIOBRARA,12835.0,8045.0,H,,,,4529.93,1.0,58379.0,195049.0,25871.0,22572.0,2015-10-01,01S,67W,01S67W,Adams
5001097750000,WILLOW BEND LD,18-37HN,GREAT WESTERN OPERATING,SPINDLE,NIOBRARA,12482.0,7826.0,H,,,,4490.44,1.0,44004.0,186020.0,13001.0,15686.0,2015-10-01,01S,67W,01S67W,Adams
5001097740000,WILLOW BEND,18-22HC,GREAT WESTERN OPERATING,WATTENBERG,CODELL,12670.0,8088.0,H,,,,4459.3,1.0,104484.0,294008.0,55482.0,52873.0,2014-08-01,01S,67W,01S67W,Adams
5001097730000,WILLOW BEND LD,18-23HN,GREAT WESTERN OPERATING,SPINDLE,NIOBRARA,12663.0,7799.0,H,,,,4584.27,1.0,42838.0,146086.0,18490.0,13982.0,2015-10-01,01S,67W,01S67W,Adams
5001097720000,WILLOW BEND LD,18-22HN,GREAT WESTERN OPERATING,SPINDLE,NIOBRARA,12482.0,7838.37,H,,,,4458.2,1.0,112547.0,314442.0,60140.0,50405.0,2014-08-01,01S,67W,01S67W,Adams
