APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,HorizontalLength,GrossPerforatedInterval,nphf_sqrt,sandmass,sqrtsandmass,sandperft,location,First6BOE,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
5001098010000,0,1,1,1.0,7774.0,2247.84,2901.282977014024,73.12015469749758,2533880.960390808,1591.8168740124624,249.37318771683968,2,46241.0,1,0,0
5001097850000,0,1,1,1.0,7576.73,4499.09,5094.584804578321,73.51533986469543,3274332.440822408,1809.5116581062439,268.88799257162776,0,7094.0,1,0,0
5001097830000,0,1,1,1.0,7511.68,4556.06,5150.088371537273,73.52531284165153,3045143.183807207,1745.0338632265011,250.32044309215527,0,8304.0,1,0,0
5001097820000,0,1,1,1.0,7574.72,4525.4,5120.217573521449,73.51994577309311,2784210.559125429,1668.5953850845415,228.3131654838109,1,7118.0,1,0,0
5001097810000,0,1,1,1.0,7513.7,4504.51,5099.865291376944,73.51628872993425,3056162.09867342,1748.1882331927018,252.2110289163605,0,10385.0,1,0,0
5001097800000,0,1,1,1.0,7737.69,4512.42,5107.57168447235,73.51767349098888,3144599.9418157577,1773.3019883301765,254.68534395527317,2,6927.0,1,0,0
5001097780000,0,1,1,1.0,8018.0,4200.24,4803.427335986387,73.46300200790608,2663777.655416646,1632.1083467149617,211.39414771975606,2,60797.0,1,0,0
5001097770000,0,0,0,0.0,8045.0,4529.93,5124.630969314394,73.52073877951449,3443318.671834056,1855.6181373962845,268.27570485656844,0,22572.0,1,0,0
5001097750000,0,0,0,0.0,7826.0,4490.44,5086.157459410778,73.5138255064258,3630947.434334727,1905.5045091352388,290.8946830904284,0,15686.0,1,0,0
5001097730000,0,0,0,0.0,7799.0,4584.27,5177.57223363859,73.53025068882474,2542701.1700620884,1594.5849522876129,200.79769170513214,0,13982.0,1,0,0
5001097720000,0,1,1,1.0,7838.37,4458.2,5054.747331294988,73.50818096446825,2970634.517082813,1723.5528762074034,237.99347196625646,0,50405.0,1,0,0
5001098410000,0,0,0,0.0,8045.0,4463.02,5059.443262359446,73.50902487205605,3141627.728123833,1772.4637452212762,247.216535105747,2,23404.0,1,0,0
5001098450000,0,1,0,0.0,7841.0,4658.59,5249.979203910473,73.54325799207923,3998956.675565462,1999.7391518809302,312.028454710164,2,97243.0,1,0,0
5001098470000,0,1,0,0.0,7707.0,5786.57,6348.924498949218,73.74039260168595,3938536.6315469276,1984.5746727062017,314.83106567121723,2,93034.0,1,0,0
5001098580000,0,1,1,1.0,7772.0,5250.96,9607.0,40.5457765988025,15339412.873448167,3916.5562517916383,854.4681859095458,1,110590.0,1,0,0
5001098600000,0,1,1,1.0,7650.0,4535.6,5130.1550210022515,73.52173133841279,15359724.03150996,3919.1483808998555,857.4145378759607,1,95156.0,1,0,0
5001099260000,0,1,0,0.0,7904.0,5265.93,5841.686003223255,73.64946705018812,450365.96611647494,671.0931128513203,34.95273310954404,2,60840.0,1,0,0
5001099410000,0,1,0,0.0,7666.0,3889.91,4501.085367680767,73.40861415610046,4837280.389505561,2199.3818198542886,383.69797648176103,2,77329.0,1,0,0
5001099930000,0,1,1,1.0,8005.0,9350.72,9821.331698821865,74.35985678562146,1826880.8351059,1351.6215576506243,99.84046535719204,2,1877.0,0,0,1
5001099940000,0,1,1,1.0,7755.0,9375.69,9845.658959958691,74.36417847351848,1826880.8351059,1351.6215576506243,101.08902363357127,1,2094.0,0,0,1
5001099960000,0,1,1,1.0,8005.0,9498.45,9965.259063168814,74.38542153427099,1826880.8351059,1351.6215576506243,99.05551347968877,2,10842.0,0,0,1
5001100010000,0,1,1,1.0,7843.0,9435.09,9903.52997764101,74.3744581315319,1826880.8351059,1351.6215576506243,99.9880047674402,1,117923.0,0,0,1
5005071730000,0,1,1,1.0,7719.0,4643.03,3995.0,81.535452411819,6467822.2934332825,2543.1913599714203,529.238384210235,0,58973.0,1,0,0
5005071800000,0,1,1,1.0,7468.27,4541.91,3983.0,80.98709773784958,9913487.174449876,3148.5690677591742,816.4624587753151,0,62014.0,1,0,0
5005071890000,1,1,0,1.0,7736.0,4628.06,3745.0,82.9642091506934,6182953.205753663,2486.5544847747983,510.3130740965387,0,45021.0,1,0,0
5005071920000,1,1,0,1.0,7743.0,4645.77,3866.0,82.33935875387907,6677629.502834874,2584.1109695279874,548.7410225026604,0,80418.0,1,0,0
5005072090000,0,1,1,1.0,7884.0,5038.58,4079.0,83.42409723814816,6019252.006145695,2453.416394773968,484.01833436359726,0,68933.0,1,0,0
5005072100000,0,1,1,1.0,9793.0,4572.13,5165.744722617321,73.52812575730921,11364895.40537524,3371.186053212614,941.9722673332151,0,56003.0,1,0,0
5005072110000,0,1,1,1.0,7529.0,9347.06,8734.0,81.32072306614101,10664200.761926407,3265.608788867155,644.7911458931258,0,29518.0,0,0,1
5005072120000,0,1,1,1.0,7427.0,4139.63,3262.0,82.93147773915523,5810192.597105049,2410.434109679219,516.9210495645061,0,25773.0,1,0,0
5005072180000,0,1,1,1.0,8007.0,9738.92,10199.53925882651,74.42701620496075,14247947.352971653,3774.645328103245,819.2713100437958,0,127814.0,0,0,1
5005072190000,0,1,0,0.0,8193.0,7626.51,6720.0,83.10541498602844,11220052.236457802,3349.634642234553,736.417185380533,0,110612.0,0,1,0
5005072200000,0,1,0,0.0,7819.0,7617.49,6790.0,82.62862700057408,8053098.770646542,2837.7982258516095,528.8349599846691,0,100042.0,0,1,0
5005072210000,1,1,0,1.0,7997.0,9168.78,8330.0,82.69691650841645,9876653.30777323,3142.714321692831,586.4647769000196,0,112130.0,0,0,1
5005072220000,0,1,1,1.0,7817.0,5085.61,3815.0,85.26787202692465,26259555.030419294,5124.4077736280215,2141.3646767038485,0,48930.0,1,0,0
5005072230000,0,1,0,0.0,7749.0,7123.18,6370.0,82.17773421067291,8009359.8379943175,2830.081242295761,546.9006376233743,0,132479.0,0,1,0
5005072240000,0,1,0,0.0,7958.0,9741.06,8717.0,83.80966531373335,10403926.84609102,3225.511873500239,601.2092947755574,0,126674.0,0,0,1
5005072260000,0,1,0,0.0,8061.0,9314.34,8540.0,82.30637885364658,10522598.927548833,3243.855565149107,619.5230454841821,0,102770.0,0,0,1
5005072420000,0,1,0,0.0,7798.0,6727.54,7265.673514244356,73.90444158340989,777028.0939895351,881.4919704623152,51.16065933562912,6,80383.0,0,1,0
5005072450000,0,1,0,0.0,7603.11,8067.05,7345.0,81.98810889391217,777028.0939895351,881.4919704623152,50.65042005016199,0,80699.0,0,1,0
5005072490000,0,1,0,0.0,7794.0,7033.83,6300.0,82.0599171337627,777028.0939895351,881.4919704623152,53.632529955103195,0,79792.0,0,1,0
5005072500000,0,1,0,0.0,7785.0,7059.67,6300.0,82.21721230983206,777028.0939895351,881.4919704623152,53.159204624036065,0,67427.0,0,1,0
5069064450000,0,1,1,1.0,7067.06,4765.98,4222.0,80.89487004748817,1970482.505872621,1403.73875983839,169.03856102535994,1,29946.0,1,0,0
5069064460000,0,1,1,1.0,7211.99,4783.91,4259.0,80.77691501908203,1992217.3294849056,1411.459290764316,167.52584338083633,2,44376.0,1,0,0
5069064700000,0,1,0,0.0,7081.0,5700.55,5871.0,76.35148983484213,4656857.195093343,2157.975253586876,343.476707117078,1,46528.0,1,0,0
5069064710000,0,1,0,0.0,7229.0,5769.33,5731.0,77.70669211850418,2889895.4213891523,1699.969241306781,211.21878536684346,2,48377.0,1,0,0
5069064770000,0,1,0,0.0,6986.0,5197.22,6082.0,71.52076621513503,4746895.322340634,2178.7370934421238,342.66190156216226,1,65055.0,1,0,0
5069064780000,0,1,0,0.0,7309.0,5281.44,5786.0,74.13123498229339,2955044.647525161,1719.0243301143707,211.2859035839526,2,68952.0,1,0,0
5069064790000,0,1,0,0.0,7304.0,5166.22,6046.0,71.55571256021423,3033698.238933077,1741.751485985609,214.123252324469,2,72372.0,1,0,0
5069064800000,0,1,0,0.0,7175.0,5443.82,5296.0,78.4080353025122,4196028.966484798,2048.421091105244,316.1088568995629,1,46755.0,1,0,0
5069064810000,0,1,0,0.0,7158.0,5175.05,6098.0,71.25342097050499,4840202.398372565,2200.045999149237,344.98947957038956,1,52994.0,1,0,0
5069064830000,0,1,0,0.0,6998.0,8536.42,8193.0,79.64558995952004,6112509.540517744,2472.3489924599526,382.151268553782,1,76073.0,0,0,1
5069064840000,0,1,0,0.0,7008.0,9725.38,9421.0,79.40012594448449,6927678.855519207,2632.0484143570015,406.36314262782776,1,81528.0,0,0,1
5069064860000,0,1,0,0.0,7049.0,11733.62,10380.0,85.75325066724876,7909933.3784583025,2812.4603781134947,433.5397850621158,1,88900.0,0,0,1
5123347570000,0,1,1,1.0,7000.85,5213.88,3979.0,85.0580977920386,3453929.725877225,1858.4751076829696,298.57622111663426,1,67496.0,1,0,0
5123349250000,0,1,1,1.0,6849.09,4494.03,3878.0,81.33898204428182,3385353.300089059,1839.9329607594564,299.6948742996688,1,18880.0,1,0,0
5123349520000,0,1,1,1.0,7036.0,5727.96,6506.0,72.26313029477757,7450506.649578057,2729.5616222349804,517.1449052251029,8,65416.0,1,0,0
5123352460000,0,1,1,1.0,6553.0,9680.99,8714.0,83.46849705128277,6723438.121943215,2592.9593367315297,423.25704261524805,1,18895.0,0,0,1
