APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,sandperft,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
25085219780000,0,1,0,0.0,10071.91,119.56581117465151,3540.9643175421224,112335.67,1244.8908199245773,0,0,1
25085219820000,0,1,0,0.0,10149.72,119.89075528101581,3482.759695179549,103295.83,1195.068937307349,0,0,1
25085219830000,0,1,0,0.0,10185.45,120.03967344945762,3211.6626579130434,109993.67,1012.6972326439259,0,0,1
33025020720000,0,1,1,1.0,10775.58,116.42934854173333,1614.653077152953,36293.0,279.3809243697304,0,0,1
33025020730000,0,1,1,1.0,10849.07,121.76228152368212,1333.051429310943,27982.17,167.6126641615951,0,0,1
33025020740000,0,1,1,1.0,10422.27,119.73588936426881,1899.9875834405598,28200.83,356.9753819467276,0,0,1
33025020750000,0,1,1,1.0,11373.65,117.8995046717857,1344.3556729676875,95114.5,186.776672651139,0,0,1
33025020760000,0,1,1,1.0,10632.83,119.2269818533222,1250.8888545179827,56834.5,156.61324455583136,0,0,1
33025020770000,0,1,1,1.0,10637.23,119.40055779539902,1297.904300666149,56433.17,167.91118929308038,0,0,1
33025020780000,0,1,1,1.0,11202.38,119.3213861881114,2406.246976620472,43155.0,578.2206968673516,0,0,1
33025020790000,0,1,1,1.0,11141.49,119.28697834152905,2557.662826158371,66494.0,653.8167365441376,0,0,1
33025020800000,0,1,1,1.0,11183.63,119.35729220224637,3776.4124279186167,54923.0,1422.985707146731,0,0,1
33025020810000,0,1,1,1.0,10588.6,119.14261706816927,1247.574349096179,49175.17,156.09857861462265,0,0,1
33025020820000,0,1,1,1.0,10550.83,118.33115904888459,1382.6908093722805,50824.67,195.52022146456264,0,0,1
33025020840000,0,1,1,1.0,10809.43,118.92364441881362,1424.4907924907932,39725.67,204.57940487430366,0,0,1
33025020850000,0,1,1,1.0,10562.07,116.69234422982693,2534.7142873592693,95337.0,683.9940379774374,0,0,1
33025020860000,0,1,1,1.0,10606.67,115.40205024977858,2415.426200903094,74732.67,641.5841245902764,0,0,1
33025020900000,0,1,0,0.0,10762.14,119.15969621416639,2027.6926211885723,81339.33,412.1858499705847,0,0,1
33025020910000,0,1,1,1.0,10799.04,120.61730059097003,2016.702833142489,88804.17,393.9276550255357,0,0,1
33025020920000,0,1,1,1.0,10683.2,119.52289823231538,1105.7920678439432,147117.17,121.52838722342598,0,0,1
33025020930000,0,1,1,1.0,10710.63,120.55688782418208,1420.7222555870885,138591.83,195.77820204875752,0,0,1
33025020950000,0,1,1,1.0,10815.35,119.29510971474238,1268.2204506730077,48274.5,160.7217878543303,0,0,1
33025020960000,0,1,1,1.0,10873.28,119.3065513785912,1534.6917648722597,18570.0,235.2930588439469,0,0,1
33025020980000,0,1,1,1.0,11176.74,125.81825464475503,1844.28953842819,52217.67,293.0688446097302,0,0,1
33025020990000,0,1,1,1.0,11100.43,125.90783614156992,2567.209125655888,73215.67,566.7492520538278,0,0,1
33025021000000,0,1,1,1.0,11163.16,126.03008847831704,1827.3204642125484,54057.17,286.384254478101,0,0,1
33025021010000,0,1,1,1.0,10345.6,119.59700331468352,1819.9334785321175,76816.33,328.60762788567274,0,0,1
33025021020000,0,1,1,1.0,10267.27,120.47270729029219,1804.8692638089021,74685.83,316.5869479320953,0,0,1
33025021030000,0,1,1,1.0,10365.65,121.38658575745683,1767.1137404536564,59076.17,297.0983634377875,0,0,1
33025021040000,0,1,1,1.0,10266.26,115.91864906844118,1676.4545842434954,35445.5,305.05608050213846,0,0,1
